functions                                                uri                                                                                            times  
String.==                                                third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:1027:18                            3      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
String.==                                                third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:1027:18                            1      
Timeline.now                                             third_party/dart/sdk/lib/developer/timeline.dart:184:25                                        1      
Timeline.now                                             third_party/dart/sdk/lib/developer/timeline.dart:184:25                                        1      
JsonCodec.encode                                         third_party/dart/sdk/lib/convert/json.dart:229:3                                               1      
_JsonStringStringifier.stringify                         third_party/dart/sdk/lib/convert/json.dart:964:3                                               1      
StringBuffer.toString                                    third_party/dart/sdk/lib/_internal/vm_shared/lib/string_buffer_patch.dart:126:3                1      
_StringBase._concatRange                                 third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:972:3                              1      
_StringBase._concatRangeNative                           third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:0:0                                1      
stub CallBootstrapNative                                 ??:0:0                                                                                         1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                       1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                       1      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                      2      
stub TopTypeTypeTest                                     ??:0:0                                                                                         1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                       1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      5      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      5      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                       1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:518:3                       1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
